"Gene symbol 1","Gene symbol 2","UniProt ID 1","UniProt ID 2","High temp. Remodeling Score","Amino acids Remodeling Score","Anaerobic Remodeling Score","Galactose Remodeling Score","Glucose Remodeling Score","Max growth rate Remodeling Score","Near-zero growth Remodeling Score","Stationary phase Remodeling Score","Xylose Remodeling Score"
"accA","aaeR","P0ABD5","P67662",-1.47718148558345,-1.46462494466811,-1.94356919817568,-1.88334369970493,-1.64828034150566,-1.55188598195007,-1.71715630525255,-1.08374454861258,-1.47783467581063
"accA","accB","P0ABD5","P0ABD8",0.544506665471574,0.0576815285505182,0.546950479449284,0.102068859314356,0.122573625460559,0.605813784605725,0.227560462956062,0.226858110651537,-0.201962189222761
"accA","accC","P0ABD5","P24182",0.211016070310961,0.0725852452745838,0.315399927983811,0.169569504854488,0.214517916486378,0.450267377691148,0.539806584152442,0.388146751893031,0.476710551668114
"accB","aaeR","P0ABD8","P67662",-1.63482394554929,-1.89870870524736,-2.19190058853179,-2.4681398978818,-2.19380131217171,-1.62973296702547,-2.12400232883737,-1.54384419454688,-1.78389994734264
"accB","accC","P0ABD8","P24182",0.0270543266172055,-0.512575264895842,-0.101473757120538,-0.53771857409813,-0.873582890273442,-0.478307461400577,-1.43756191826459,-0.632622336283359,-0.252580903457878
"accB","aceE","P0ABD8","P0AFG8",0.380895439866434,-0.583892453157858,0.885036710242977,-0.268815995604554,0.297600537743168,1.13276454983898,-0.121713654491753,0.360885469604808,0.0964725612032531
"accB","acnB","P0ABD8","P36683",-0.550279347315886,-0.362953997346215,0.350628067142895,0.482298007984886,-0.803697904474397,0.0734632191023689,0.691298282047111,0.64101559301925,-0.0606618134495134
"accC","aaeR","P24182","P67662",-3.02708505982326,-2.37138560933965,-3.52167828632464,-2.98887691447376,-1.80666246644748,-2.77159587896168,-2.7021811837841,-2.24111446877471,-2.08090701613917
"accC","acnA","P24182","P25516",-0.38285084405871,0.0919033182123498,0.360621867607256,-0.770960761458174,-0.164940334244673,0.303964722917827,-0.921742880566664,-0.371573397366447,-0.251931050774454
"accD","accA","P0A9Q5","P0ABD5",0.278258579560061,0.313615008820963,0.0983916270821728,-0.0393954711297142,0.219923349771823,-0.0409471754374864,0.113164424341581,0.0966881689283152,0.0820048839405292
"accD","accB","P0A9Q5","P0ABD8",0.60410459531821,0.118590451260591,0.637745193939478,0.221073293333584,-0.0134481301831754,0.755128876660778,0.492134840498964,0.154463268852493,-0.090786073116549
"accD","accC","P0A9Q5","P24182",-0.282036126851986,0.0344850446505878,0.156589124552643,0.0777073874081065,-0.142198359664322,0.242140950898776,0.449024469304904,0.300547765970416,0.378480223894777
"accD","aceE","P0A9Q5","P0AFG8",-0.050669350146649,-0.478776975326836,0.281991730329912,-0.682968085750319,-0.14267710584507,0.427238723705042,-0.392523307099887,0.148077344078821,0.381603264867447
"accD","acnB","P0A9Q5","P36683",0.763137636897903,0.158193747533274,-0.788426907229703,1.05813381247011,0.436192765637179,0.197550596535251,-0.472347826883084,-0.539536148115371,0.576126025973234
"aceA","accB","P0A9G6","P0ABD8",0.319159906254458,0.495339578387489,1.04410330754051,1.28294053562899,0.515247684640541,0.803904198866733,0.769045202055903,0.447188076035365,0.0397474816843293
"aceA","accC","P0A9G6","P24182",1.03090456926534,0.123501747388989,0.308915780466224,1.36452236353494,-0.0517262324274174,0.146312945236311,0.992641142803611,0.323926487484153,0.603311099431395
"aceA","accD","P0A9G6","P0A9Q5",0.871890423793636,-0.012421979469649,-0.181756413693768,1.41311641423035,-0.10922250664047,0.208591863024546,1.08124073912819,-0.287702607795058,0.306707191641991
"aceA","aceE","P0A9G6","P0AFG8",0.813350286352837,-0.44190573171671,0.200953711147081,0.859897229358006,-0.12279014171714,0.811835866072424,0.748532479708196,0.329795313164389,0.707921783766928
"aceA","acnB","P0A9G6","P36683",0.401298738564808,0.226959961871219,-0.243250166134378,0.159409525485383,0.196693676374225,0.408180694203336,0.913201788482711,-0.218735322131935,0.448303809365603
"aceB","accC","P08997","P24182",0.259128858472388,0.598052399310259,0.144961893279224,1.00757979523077,0.0677846621870397,0.649894622681849,-0.416214439502403,0.459069538502601,0.252530437214548
"aceB","accD","P08997","P0A9Q5",-0.972576303165738,-0.423441760934832,-0.798668895994098,-0.293354844972521,-1.46667033355009,-0.848730660959555,-1.10125532988968,-0.738816319900522,-1.04998377562458
"aceB","aceA","P08997","P0A9G6",-0.739731135742553,-0.314227896710685,-0.943498679557651,-0.656317485399359,-1.264695417551,-0.565701217431666,-0.261011203793859,-0.42246365728565,-0.675133371818204
"aceB","aceE","P08997","P0AFG8",0.629352413681351,0.0547658274373706,0.486913950021225,0.856303928371653,0.519781381215903,0.633697747356388,0.333016595103594,0.380774230347264,0.869161612130407
"aceB","ackA","P08997","P0A6A3",-1.27662062057081,-0.211429632729908,-0.748283384728518,-0.853394348132254,-1.35672018254574,-1.14622311561523,-1.39768495935193,-0.73230290979203,-1.22115284620332
"aceB","acnA","P08997","P25516",1.3607249630004,-0.415792340075186,1.04046094143845,0.148634865737416,0.351571117954651,0.308099882243269,-0.260671846828106,-0.494314865229485,0.398073467030579
"aceE","accC","P0AFG8","P24182",-0.111990177406905,-0.418015023556513,0.3602569258104,-0.516742649527621,0.040905754180612,0.917147419698897,0.132916736304477,0.636271057846173,0.651763190412709
"aceE","acnA","P0AFG8","P25516",0.263903264270001,0.164762228871737,-0.0168178410826437,0.0338829047970758,-0.177110967015891,0.0608101199155332,0.0689475079906139,0.529887723748227,0.328561525852935
"aceE","acnB","P0AFG8","P36683",0.364639438561086,-0.474729492610571,0.303972939801302,0.722605371972485,0.190132748457364,0.768592544291673,-0.352518258679554,0.0685848105120402,0.957159098395355
"aceF","accB","P06959","P0ABD8",0.144865307813858,-0.733440387025521,0.556649036461741,-0.292142665119228,0.171421443285158,0.431850825900945,-0.217345168112288,0.142407373482218,0.17958932357158
"aceF","accC","P06959","P24182",-0.0160601673679696,-0.214140823592588,-0.343221781292855,-0.314945319410521,-0.179377235949114,0.0342976936831477,-0.138737491721233,-0.155103727912156,-0.294012688718271
"aceF","accD","P06959","P0A9Q5",-0.220487328243143,-0.437970619627302,-0.213258321551719,-0.466300468886924,-0.196579159503806,-0.320500333727385,-0.574390376491939,-0.402265760266737,-0.366860112461701
"aceF","aceA","P06959","P0A9G6",0.561665414797524,-0.289256754740158,-0.234766935049258,0.872202897029581,-0.154445299826297,0.103688374060118,0.627614527175227,0.0922948330913191,0.274543047264375
"aceF","aceB","P06959","P08997",0.0729168233537873,0.321216854660038,-0.0626300210709759,0.416081517424653,-0.166130718066866,-0.374496427021274,-0.359437319865323,-0.282888149932178,-0.306603436460512
"aceF","aceE","P06959","P0AFG8",0.845116420591529,0.288316479783897,1.57148697994596,-0.222934334575026,1.51807191854838,1.61988775044801,0.463361160847844,1.16949376007467,2.45152710179562
"aceF","ackA","P06959","P0A6A3",-0.243116368155385,-0.383701024156499,0.191441905145444,-0.559169147269233,-0.432693313626533,-0.441048877386214,-0.329343421854954,-0.0750825265575261,-0.276266698505914
"aceF","acnB","P06959","P36683",0.236610727853387,-0.326374518352699,0.189164480959767,0.886865474108343,0.265842385918419,0.146257784379407,-0.225143151998686,0.0588555095231461,0.615137935113829
"aceF","acpP","P06959","P0A6A8",2.32212615395758,0.269710280241024,1.61515629876534,-0.494910683430441,1.85586579342146,0.163045522568196,0.0722755192531721,0.718126682165076,1.38715977480854
"aceF","adhE","P06959","P0A9Q7",-0.0169636717983983,0.387919134073203,0.219204077567985,-0.562810409379426,-0.212732228458969,0.121224990578,-0.330757635075682,-0.046420276181441,0.246764347125462
"ackA","accB","P0A6A3","P0ABD8",-0.260535237444282,-0.613020254178881,-1.18312043817739,-0.556111193929911,-0.396938836464918,-1.15497288654904,-1.09094144398307,-0.73612557037557,-0.508978564970431
